Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2021-06-29,3152.0,3213.0,3150.0,3186.3,3178.62,17905.0,2562.0,56913186.0,5662.0,31.62,63.0,34.3
2021-06-28,3170.0,3175.0,3097.1,3145.8,3137.66,15085.0,2138.0,47331530.0,1569.0,10.4,77.9,-24.2
2021-06-25,3185.5,3208.35,3147.5,3159.9,3168.52,7811.0,1109.0,24749291.0,1754.0,22.46,60.85,-25.6
2021-06-24,3240.0,3293.25,3160.2,3193.65,3210.07,19282.0,3110.0,61896605.0,3290.0,17.06,133.05,-46.35
2021-06-23,3154.0,3278.95,3141.9,3231.65,3223.65,56723.0,7076.0,182855208.0,12393.0,21.85,137.05,77.65
2021-06-22,3190.0,3190.0,3127.0,3139.35,3161.48,18257.0,2634.0,57719073.0,1079.0,5.91,63.0,-50.65
2021-06-21,3107.0,3168.0,3090.3,3151.35,3178.75,248718.0,2158.0,790611723.0,241534.0,97.11,77.7,44.35
2021-06-18,3169.0,3290.0,3109.55,3181.5,3199.47,35814.0,4643.0,114585647.0,2316.0,6.47,180.45,12.5
2021-06-17,3139.75,3170.35,3105.3,3149.95,3140.58,6431.0,1306.0,20197077.0,1250.0,19.44,65.05,10.2
2021-06-16,3175.5,3226.75,3137.0,3152.65,3195.29,77611.0,2395.0,247989730.0,70379.0,90.68,89.75,-22.85
2021-06-15,3210.0,3259.75,3167.5,3197.45,3215.2,11379.0,2099.0,36585770.0,2852.0,25.06,92.25,-12.55
2021-06-14,3214.35,3238.0,3101.65,3216.1,3176.63,14719.0,1885.0,46756827.0,3238.0,22.0,136.35,1.75
2021-06-11,3217.85,3239.0,3138.7,3214.35,3181.82,25251.0,4493.0,80344206.0,11761.0,46.58,100.3,-3.5
2021-06-10,3021.0,3230.55,3018.15,3182.35,3156.0,54377.0,5635.0,171613912.0,8637.0,15.88,212.4,161.35
2021-06-09,2995.0,3032.45,2950.25,2993.2,3000.91,10505.0,1605.0,31524570.0,2491.0,23.71,82.2,-1.8
2021-06-08,2982.0,3034.85,2931.0,2980.8,2994.21,20624.0,2675.0,61752663.0,3841.0,18.62,103.85,-1.2
2021-06-07,2888.0,2985.0,2871.5,2967.85,2939.97,16601.0,2157.0,48806504.0,4377.0,26.37,113.5,79.85
2021-06-04,2914.0,2919.35,2852.95,2866.5,2884.57,9531.0,1134.0,27492854.0,2215.0,23.24,66.4,-47.5
2021-06-03,2900.05,2930.0,2890.05,2898.3,2903.69,10539.0,1888.0,30602005.0,5423.0,51.46,39.95,-1.75
2021-06-02,2880.0,2920.0,2871.1,2910.0,2901.13,17739.0,2552.0,51463072.0,6879.0,38.78,48.9,30.0
2021-06-01,2970.0,2982.0,2887.0,2899.9,2925.36,17032.0,2245.0,49824804.0,4005.0,23.51,95.0,-70.1
2021-05-31,2828.0,2970.0,2817.95,2956.1,2928.26,52920.0,4840.0,154963706.0,10160.0,19.2,152.05,128.1
2021-05-28,2770.0,2856.0,2768.7,2804.8,2816.72,24632.0,3283.0,69381421.0,9971.0,40.48,87.3,34.8
2021-05-27,2788.55,2809.0,2760.65,2784.7,2777.54,12728.0,2121.0,35352576.0,3870.0,30.41,48.35,-3.85
2021-05-26,2800.0,2808.45,2752.65,2788.7,2784.88,10000.0,1303.0,27848829.0,1818.0,18.18,55.8,-11.3
2021-05-25,2785.0,2811.8,2753.65,2772.35,2777.36,14675.0,1800.0,40757799.0,3602.0,24.55,58.15,-12.65
2021-05-24,2765.0,2809.5,2740.0,2783.15,2769.87,29931.0,4553.0,82905023.0,8004.0,26.74,69.5,18.15
2021-05-21,2896.0,2899.9,2809.75,2833.65,2865.45,16934.0,2007.0,48523542.0,4114.0,24.29,90.15,-62.35
2021-05-20,2833.6,2867.3,2806.4,2854.55,2838.21,14734.0,1521.0,41818190.0,1825.0,12.39,60.9,20.95
2021-05-19,2801.0,2852.75,2781.0,2810.3,2825.78,12437.0,1246.0,35144185.0,2075.0,16.68,71.75,9.3
2021-05-18,2752.0,2820.0,2740.15,2795.7,2783.7,25264.0,2913.0,70327333.0,7511.0,29.73,79.85,43.7
2021-05-17,2662.0,2784.45,2630.65,2755.75,2705.2,41655.0,4916.0,112685020.0,16122.0,38.7,153.8,93.75
2021-05-14,2770.05,2789.0,2710.0,2721.45,2751.25,19493.0,2825.0,53630180.0,6355.0,32.6,79.0,-48.6
2021-05-12,2835.0,2843.45,2757.0,2770.15,2789.14,29440.0,3463.0,82112303.0,17428.0,59.2,86.45,-64.85
2021-05-11,2905.0,2905.0,2828.75,2836.05,2856.17,6659.0,834.0,19019264.0,1924.0,28.89,76.25,-68.95
2021-05-10,2880.0,2922.65,2842.85,2892.65,2890.53,21767.0,2835.0,62918147.0,9186.0,42.2,79.8,12.65
2021-05-07,2835.0,2896.95,2835.0,2863.2,2866.02,14317.0,1123.0,41032796.0,2505.0,17.5,61.95,28.2
2021-05-06,2880.0,2880.0,2828.0,2838.95,2846.14,7640.0,734.0,21744534.0,1897.0,24.83,52.0,-41.05
2021-05-05,2870.0,2886.3,2828.0,2835.2,2853.75,14276.0,1294.0,40740105.0,2525.0,17.69,58.3,-34.8
2021-05-04,2965.0,2965.0,2844.3,2853.2,2901.15,9769.0,1086.0,28341310.0,2937.0,30.06,120.7,-111.8
2021-05-03,2948.0,2957.5,2899.75,2916.95,2927.2,10227.0,1140.0,29936497.0,3308.0,32.35,57.75,-31.05
2021-04-30,2960.0,2988.7,2920.7,2932.35,2946.49,12936.0,1669.0,38115811.0,3059.0,23.65,68.0,-27.65
2021-04-29,2914.0,2945.65,2859.45,2923.5,2912.1,19481.0,2735.0,56730574.0,3786.0,19.43,86.2,9.5
2021-04-28,2814.0,2893.45,2800.3,2858.4,2861.85,11592.0,1301.0,33174538.0,2661.0,22.96,93.15,44.4
2021-04-27,2850.0,2865.1,2801.5,2812.7,2820.8,7501.0,972.0,21158806.0,2691.0,35.88,63.6,-37.3
2021-04-26,2920.0,2924.7,2833.0,2838.4,2863.5,17263.0,3217.0,49432674.0,6731.0,38.99,91.7,-81.6
