Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
29-06-2021,1158.9,1170.65,1146.1,1159.65,1160.32,52703,3339,61152298,14725,27.94,24.55,0.75
28-06-2021,1127.8,1158.1,1124.8,1151.4,1140.41,82799,3715,94424758,12516,15.12,33.3,23.6
25-06-2021,1138.15,1149.95,1125.2,1126.9,1129.73,36161,3161,40852013,12236,33.84,24.75,-11.25
24-06-2021,1174,1174,1136.5,1138.15,1147.39,26153,2009,30007794,9485,36.27,37.5,-35.85
23-06-2021,1189.4,1192.75,1165.05,1167.5,1174.71,19216,1347,22573238,4557,23.71,27.7,-21.9
22-06-2021,1198,1203.1,1183,1185.15,1196.26,49230,1882,58891908,2856,5.8,20.1,-12.85
21-06-2021,1175,1196,1158.3,1190.75,1180.53,28079,2362,33148101,4455,15.87,37.7,15.75
18-06-2021,1250.3,1250.3,1160.75,1188.25,1196.21,81747,6965,97786504,15891,19.44,89.55,-62.05
17-06-2021,1249,1284.45,1232.45,1245.25,1264.18,57395,3612,72557785,5101,8.89,52,-3.75
16-06-2021,1275,1276.9,1245.25,1248.15,1259.36,42010,2686,52905782,9376,22.32,31.65,-26.85
15-06-2021,1194,1278,1194,1265.75,1257.03,130784,9544,164399210,30323,23.19,84,71.75
14-06-2021,1230.95,1233.7,1202.25,1222.15,1217.57,44850,1939,54608011,4122,9.19,31.45,-8.8
11-06-2021,1198.45,1234.2,1190.75,1226.6,1221.2,67566,4319,82511448,11221,16.61,43.45,28.15
10-06-2021,1184,1196.65,1172.1,1188.55,1185.51,19812,1682,23487334,4643,23.44,24.55,4.55
09-06-2021,1185.95,1215.55,1173.25,1182.85,1199.79,89921,4767,107886379,24942,27.74,42.3,-3.1
08-06-2021,1186.35,1193.95,1173.3,1185.6,1184.54,26169,1937,30998216,6597,25.21,20.65,-0.75
07-06-2021,1190,1202.45,1179,1185.95,1190.21,26690,2055,31766617,7837,29.36,23.45,-4.05
04-06-2021,1188.9,1190.95,1171,1183.35,1176.53,49573,1508,58324344,5547,11.19,19.95,-5.55
03-06-2021,1191.7,1198.4,1178,1187,1185.15,14315,1043,16965351,4835,33.78,20.4,-4.7
02-06-2021,1188,1209.45,1164.3,1186.15,1191.86,29229,1851,34836789,5043,17.25,45.15,-1.85
01-06-2021,1199,1214.95,1176.2,1182.05,1193.99,23080,1648,27557366,3258,14.12,38.75,-16.95
31-05-2021,1180,1234,1163.15,1190.05,1182.73,60039,2467,71009862,3066,5.11,70.85,10.05
28-05-2021,1210.1,1223.65,1172.7,1175,1192,36198,3130,43147920,10302,28.46,50.95,-35.1
27-05-2021,1190,1215.15,1168.35,1211.35,1205.08,110268,5732,132881477,31463,28.53,46.8,21.35
26-05-2021,1184,1198.95,1144.95,1190.65,1172.54,69156,4488,81088279,11983,17.33,54,6.65
25-05-2021,1141.25,1196,1100,1137.3,1170.78,120063,7124,140566920,12698,10.58,96,-3.95
24-05-2021,1150,1157.05,1135.85,1141.1,1147.67,86769,2830,99581801,10018,11.55,21.2,-8.9
21-05-2021,1113.95,1142.25,1112.5,1130.8,1128.82,58810,2358,66385927,7182,12.21,29.75,16.85
20-05-2021,1122.45,1125.2,1108.65,1116.55,1115.29,11225,684,12519116,2208,19.67,16.55,-5.9
19-05-2021,1125.05,1138,1114.05,1120.55,1119.69,40474,961,45318501,2855,7.05,23.95,-4.5
18-05-2021,1116.75,1134.35,1110.75,1126.8,1121.44,22651,1397,25401691,6319,27.9,23.6,10.05
17-05-2021,1098.2,1115.2,1085,1107.25,1100.6,22266,1121,24505895,2291,10.29,30.2,9.05
14-05-2021,1149.3,1149.3,1090.5,1093.25,1105.49,82777,1590,91509466,31473,38.02,58.8,-56.05
12-05-2021,1177,1177,1128,1133.3,1145.42,22812,1617,26129283,7460,32.7,49,-43.7
11-05-2021,1166.7,1188.4,1154.95,1167.1,1170.87,52615,1133,61605149,5919,11.25,33.45,0.4
10-05-2021,1154.15,1170.2,1154.15,1161.8,1162.73,46950,1193,54590318,6949,14.8,16.05,7.65
07-05-2021,1148.4,1160.6,1137.6,1158,1148.72,52967,1117,60844377,2459,4.64,23,9.6
06-05-2021,1156,1158.25,1140,1148.35,1149.03,11402,617,13101287,2041,17.9,18.25,-7.65
05-05-2021,1154,1178.25,1133,1144.35,1152.83,36663,2310,42266338,7419,20.24,45.25,-9.65
04-05-2021,1134,1165.1,1134,1150.4,1155.35,20605,1138,23805948,3251,15.78,31.1,16.4
03-05-2021,1137,1151,1118.3,1137.25,1138.88,24464,1316,27861610,2942,12.03,32.7,0.25
30-04-2021,1089.75,1143,1087.5,1125.35,1125.27,41929,2961,47181430,15738,37.53,55.5,35.6
29-04-2021,1118.95,1119.65,1095.2,1098.6,1105.35,38808,779,42896449,2066,5.32,24.45,-20.35
28-04-2021,1120.5,1122,1101.75,1109.55,1111.4,10301,573,11448516,2386,23.16,20.25,-10.95
27-04-2021,1115,1117.65,1097.55,1107.25,1107.32,40633,725,44993634,2284,5.62,20.1,-7.75
