Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2020-06-11,68.75,74.8,68.1,68.65,71.74,114683.0,1115.0,8226858.0,35217.0,30.71,6.7,-0.1
2020-06-10,66.75,68.5,65.95,67.3,66.66,20222.0,201.0,1347916.0,12995.0,64.26,2.55,0.55
2020-06-09,72.4,72.4,65.7,66.0,67.93,30560.0,780.0,2076006.0,25322.0,82.86,6.7,-6.4
2020-06-08,70.3,72.85,68.0,68.95,70.7,40517.0,638.0,2864360.0,27894.0,68.85,4.85,-1.35
2020-06-05,76.0,76.0,68.3,68.95,69.38,13717.0,218.0,951660.0,10210.0,74.43,7.7,-7.05
2020-06-04,71.95,73.4,68.75,69.8,69.95,24454.0,289.0,1710571.0,16253.0,66.46,4.65,-2.15
2020-06-03,69.9,76.4,69.5,69.9,72.62,36429.0,517.0,2645500.0,16780.0,46.06,6.9,0.0
2020-06-02,66.1,68.95,64.95,68.45,67.11,46982.0,500.0,3153079.0,18330.0,39.01,4.0,2.35
2020-06-01,64.95,67.3,61.75,64.55,64.09,60277.0,1035.0,3862895.0,14461.0,23.99,5.55,-0.4
2020-05-29,56.35,65.85,56.3,61.95,61.21,40867.0,582.0,2501278.0,15552.0,38.06,9.55,5.6
2020-05-28,56.05,61.25,55.65,56.2,57.23,63866.0,460.0,3654841.0,17796.0,27.86,5.6,0.15
2020-05-27,54.55,55.9,54.55,54.9,55.37,19774.0,103.0,1094972.0,17678.0,89.4,1.35,0.35
2020-05-26,55.2,56.2,54.45,54.65,55.54,18900.0,104.0,1049736.0,6784.0,35.89,1.75,-0.55
2020-05-22,53.75,56.4,53.25,54.3,54.65,34404.0,172.0,1880304.0,5119.0,14.88,3.15,0.55
2020-05-21,55.0,58.15,53.0,53.85,55.96,44052.0,235.0,2465008.0,38867.0,88.23,5.15,-1.15
2020-05-20,54.1,56.45,53.0,56.0,54.84,96241.0,396.0,5278164.0,15479.0,16.08,3.45,1.9
2020-05-19,55.0,55.3,53.0,53.55,54.55,11368.0,154.0,620180.0,5139.0,45.21,2.3,-1.45
2020-05-18,56.0,56.0,54.0,54.15,54.36,3489.0,69.0,189658.0,1784.0,51.13,2.0,-1.85
2020-05-15,58.25,58.25,55.45,56.3,57.06,18600.0,174.0,1061400.0,15113.0,81.25,2.8,-1.95
2020-05-14,57.65,59.75,56.55,56.75,57.84,35156.0,266.0,2033556.0,14973.0,42.59,3.2,-0.9
2020-05-13,60.0,60.0,56.0,56.7,57.35,2582.0,82.0,148088.0,2144.0,83.04,4.0,-3.3
2020-05-12,59.05,59.45,57.9,59.3,58.71,5266.0,152.0,309158.0,2588.0,49.15,1.55,0.25
2020-05-11,59.0,59.6,58.75,59.35,59.29,312.0,25.0,18499.0,225.0,72.12,0.85,0.35
2020-05-08,59.6,60.75,58.6,59.15,60.07,16815.0,118.0,1009995.0,15364.0,91.37,2.15,-0.45
2020-05-07,59.2,59.8,58.5,59.45,59.33,3981.0,44.0,236208.0,2432.0,61.09,1.3,0.25
2020-05-06,59.75,59.75,58.0,59.35,59.08,11847.0,79.0,699874.0,9376.0,79.14,1.75,-0.4
2020-05-05,60.2,60.95,57.85,59.35,59.67,39793.0,204.0,2374523.0,15844.0,39.82,3.1,-0.85
2020-05-04,61.5,61.5,59.15,59.45,59.78,10349.0,159.0,618699.0,7250.0,70.06,2.35,-2.05
2020-04-30,70.0,70.0,61.4,61.65,62.1,8347.0,239.0,518358.0,7007.0,83.95,8.6,-8.35
2020-04-29,65.0,65.5,62.75,62.95,64.22,9741.0,170.0,625543.0,6875.0,70.58,2.75,-2.05
2020-04-28,64.95,64.95,62.15,63.1,63.05,9297.0,288.0,586137.0,5524.0,59.42,2.8,-1.85
2020-04-27,64.1,64.1,61.55,63.1,62.89,5125.0,149.0,322319.0,2458.0,47.96,2.55,-1.0
2020-04-24,63.4,65.0,60.95,63.9,63.22,6702.0,247.0,423708.0,3423.0,51.07,4.05,0.5
2020-04-23,64.0,64.7,63.0,64.45,63.69,898.0,100.0,57191.0,283.0,31.51,1.7,0.45
2020-04-22,63.5,66.95,63.5,64.15,65.17,8840.0,496.0,576075.0,3940.0,44.57,3.45,0.65
2020-04-21,62.6,64.45,61.5,63.55,62.89,2517.0,134.0,158292.0,1037.0,41.2,2.95,0.95
2020-04-20,66.4,66.4,63.65,63.9,64.21,2780.0,144.0,178504.0,1942.0,69.86,2.75,-2.5
2020-04-17,66.1,68.0,64.0,65.1,65.84,11910.0,414.0,784124.0,5778.0,48.51,4.0,-1.0
2020-04-16,60.55,68.25,60.0,64.0,64.32,13202.0,488.0,849153.0,10050.0,76.12,8.25,3.45
2020-04-15,60.25,60.25,59.6,60.0,59.95,1603.0,37.0,96107.0,1495.0,93.26,0.65,-0.25
2020-04-13,61.0,61.0,59.0,59.8,59.91,892.0,57.0,53440.0,707.0,79.26,2.0,-1.2
2020-04-09,59.8,60.1,58.3,59.45,59.55,4431.0,196.0,263880.0,1845.0,41.64,1.8,-0.35
2020-04-08,59.85,59.9,57.3,59.35,58.55,9646.0,212.0,564763.0,7094.0,73.54,2.6,-0.5
2020-04-07,59.65,60.1,58.95,59.35,59.68,568.0,44.0,33900.0,492.0,86.62,1.15,-0.3
2020-04-03,58.9,61.1,58.5,59.05,59.28,1862.0,78.0,110386.0,1298.0,69.71,2.6,0.15
2020-04-01,61.6,61.9,59.4,59.55,60.39,3910.0,84.0,236144.0,3139.0,80.28,2.5,-2.05
2020-03-31,62.6,63.2,60.3,61.0,61.0,1010537.0,104.0,61644818.0,1005161.0,99.47,2.9,-1.6
2020-03-30,60.6,65.6,59.7,60.3,62.65,4569.0,226.0,286238.0,1655.0,36.22,5.9,-0.3
2020-03-27,62.0,65.95,59.45,60.5,63.14,650140.0,160.0,41046652.0,645686.0,99.31,6.5,-1.5
2020-03-26,63.5,64.8,57.2,60.45,59.58,12127.0,337.0,722566.0,6174.0,50.91,7.6,-3.05
2020-03-25,64.5,64.5,58.85,59.35,60.83,1918.0,153.0,116672.0,997.0,51.98,5.65,-5.15
2020-03-24,61.95,61.95,58.0,59.6,59.31,4760.0,151.0,282320.0,1535.0,32.25,3.95,-2.35
2020-03-23,63.9,64.05,52.3,60.15,61.47,4247.0,147.0,261043.0,1984.0,46.72,11.75,-3.75
2020-03-20,66.4,66.55,63.95,65.35,65.86,3220.0,132.0,212059.0,2369.0,73.57,2.6,-1.05
2020-03-19,70.75,70.75,63.0,65.8,67.3,7182.0,204.0,483337.0,5065.0,70.52,7.75,-4.95
2020-03-18,78.35,78.35,71.3,72.75,74.27,3709.0,134.0,275452.0,1315.0,35.45,7.05,-5.6
2020-03-17,75.55,79.25,75.0,76.8,77.59,2061.0,99.0,159915.0,1078.0,52.3,4.25,1.25
2020-03-16,74.8,79.2,72.2,78.25,77.03,26703.0,393.0,2056967.0,12416.0,46.5,7.0,3.45
2020-03-13,74.55,92.75,65.0,81.15,75.7,24273.0,551.0,1837480.0,8886.0,36.61,27.75,6.6
2020-03-12,82.0,82.0,78.1,78.95,79.0,16481.0,301.0,1302033.0,11619.0,70.5,3.9,-3.05
2020-03-11,83.0,84.8,82.55,84.75,84.37,9906.0,226.0,835747.0,8416.0,84.96,2.25,1.75
2020-03-09,83.3,86.55,83.0,85.1,85.59,27615.0,1880.0,2363528.0,23614.0,85.51,3.55,1.8
2020-03-06,82.6,87.35,82.6,86.3,85.53,3342.0,94.0,285832.0,1754.0,52.48,4.75,3.7
2020-03-05,81.0,89.25,81.0,87.45,88.16,10314.0,263.0,909324.0,5843.0,56.65,8.25,6.45
2020-03-04,89.85,91.7,87.25,87.5,88.73,6123.0,149.0,543289.0,3405.0,55.61,4.45,-2.35
2020-03-03,95.1,95.45,90.0,90.6,92.89,7322.0,250.0,680123.0,4067.0,55.54,5.45,-4.5
2020-03-02,94.55,98.65,93.25,94.0,94.75,68656.0,2556.0,6505464.0,9894.0,14.41,5.4,-0.55
2020-02-28,88.6,95.45,87.8,93.0,91.32,26594.0,827.0,2428511.0,10821.0,40.69,7.65,4.4
