Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2021-06-29,139.6,140.35,137.55,138.1,139.02,90850.0,1650.0,12629991.0,29565.0,32.54,2.8,-1.5
2021-06-28,137.0,143.9,135.45,137.75,139.18,156175.0,2974.0,21736650.0,49805.0,31.89,8.45,0.75
2021-06-25,138.75,138.85,134.6,135.9,136.24,31222.0,895.0,4253797.0,10706.0,34.29,4.25,-2.85
2021-06-24,138.6,140.85,130.0,137.55,136.77,57122.0,1086.0,7812338.0,29555.0,51.74,10.85,-1.05
2021-06-23,138.35,140.0,137.4,137.6,138.32,32389.0,668.0,4480144.0,17021.0,52.55,2.6,-0.75
2021-06-22,139.2,141.0,137.7,138.35,139.17,67561.0,1303.0,9402608.0,21264.0,31.47,3.3,-0.85
2021-06-21,135.9,141.0,135.9,139.2,138.81,46747.0,1364.0,6488834.0,18725.0,40.06,5.1,3.3
2021-06-18,143.85,143.85,134.1,140.95,138.39,117088.0,2172.0,16204042.0,46243.0,39.49,9.75,-2.9
2021-06-17,141.1,146.3,139.7,141.15,143.41,206028.0,2867.0,29545660.0,40614.0,19.71,6.6,0.05
2021-06-16,146.0,150.55,141.2,142.15,146.81,119405.0,1845.0,17530175.0,35862.0,30.03,9.35,-3.85
2021-06-15,138.0,147.5,138.0,146.0,144.41,229442.0,4343.0,33133200.0,119103.0,51.91,9.5,8.0
2021-06-14,141.9,141.9,133.45,138.65,137.33,172958.0,2581.0,23753128.0,43752.0,25.3,8.45,-3.25
2021-06-11,144.0,147.85,143.15,146.5,145.41,144541.0,2771.0,21017364.0,72006.0,49.82,4.7,2.5
2021-06-10,141.7,144.0,140.6,141.85,142.18,57833.0,1328.0,8222773.0,29250.0,50.58,3.4,0.15
2021-06-09,141.6,146.3,136.8,138.95,141.64,92329.0,1616.0,13077390.0,23805.0,25.78,9.5,-2.65
2021-06-08,139.0,143.5,135.75,140.75,138.74,154955.0,2939.0,21498377.0,88209.0,56.93,7.75,1.75
2021-06-07,140.95,142.0,138.6,138.75,139.86,67401.0,1735.0,9426387.0,37937.0,56.29,3.4,-2.2
2021-06-04,138.1,143.8,138.1,139.35,140.54,63195.0,971.0,8881582.0,24390.0,38.59,5.7,1.25
2021-06-03,141.5,142.1,139.2,139.85,140.75,49700.0,934.0,6995174.0,25198.0,50.7,2.9,-1.65
2021-06-02,140.55,143.6,138.0,140.4,141.41,90356.0,1341.0,12777015.0,35247.0,39.01,5.6,-0.15
2021-06-01,139.0,141.95,136.85,139.7,139.54,77381.0,966.0,10797783.0,15782.0,20.4,5.1,0.7
2021-05-31,137.0,139.5,134.2,135.05,136.64,35160.0,656.0,4804410.0,18683.0,53.14,5.3,-1.95
2021-05-28,142.3,143.0,136.85,137.7,139.18,44490.0,616.0,6192018.0,25541.0,57.41,6.15,-4.6
2021-05-27,142.0,143.4,140.65,141.0,142.09,48462.0,774.0,6886001.0,29894.0,61.69,2.75,-1.0
2021-05-26,146.15,146.8,139.95,140.65,143.74,56765.0,1104.0,8159386.0,22547.0,39.72,6.85,-5.5
2021-05-25,142.1,147.55,141.65,145.55,145.37,56763.0,1107.0,8251363.0,17234.0,30.36,5.9,3.45
2021-05-24,143.0,143.1,139.6,141.4,141.57,38244.0,568.0,5414015.0,17002.0,44.46,3.5,-1.6
2021-05-21,141.0,144.7,140.1,140.5,141.66,55862.0,905.0,7913665.0,21947.0,39.29,4.6,-0.5
2021-05-20,145.9,145.9,140.55,141.0,142.72,35461.0,663.0,5061074.0,13633.0,38.44,5.35,-4.9
2021-05-19,146.1,147.5,143.15,144.1,145.19,55330.0,871.0,8033393.0,25015.0,45.21,4.35,-2.0
2021-05-18,150.65,150.65,143.1,143.75,145.18,56199.0,920.0,8158861.0,28839.0,51.32,7.55,-6.9
2021-05-17,148.95,150.9,146.1,146.85,148.17,66150.0,815.0,9801600.0,22800.0,34.47,4.8,-2.1
2021-05-14,149.0,152.85,141.25,145.55,145.87,77815.0,1097.0,11350532.0,23613.0,30.34,11.6,-3.45
2021-05-12,147.8,157.6,144.2,148.85,150.44,256025.0,3586.0,38516184.0,86065.0,33.62,13.4,1.05
2021-05-11,135.0,150.5,134.9,147.15,145.16,219144.0,2706.0,31811391.0,74030.0,33.78,15.6,12.15
2021-05-10,140.0,140.15,135.6,137.65,138.51,78925.0,1042.0,10932267.0,36979.0,46.85,4.55,-2.35
2021-05-07,141.0,141.35,134.75,135.45,136.48,85216.0,1497.0,11629987.0,35103.0,41.19,6.6,-5.55
2021-05-06,136.8,143.75,131.35,138.8,137.62,585119.0,7661.0,80522641.0,224341.0,38.34,12.4,2.0
2021-05-05,116.35,138.0,115.0,134.15,127.54,714894.0,9065.0,91178736.0,275374.0,38.52,23.0,17.8
2021-05-04,114.0,118.5,114.0,115.35,116.45,87569.0,1197.0,10197686.0,45134.0,51.54,4.5,1.35
2021-05-03,113.75,115.45,111.6,113.95,114.01,22401.0,441.0,2553906.0,8085.0,36.09,3.85,0.2
2021-04-30,111.7,116.4,111.0,111.4,113.75,92405.0,1098.0,10511479.0,41485.0,44.89,5.4,-0.3
2021-04-29,115.95,116.15,110.75,112.1,112.43,33025.0,518.0,3712949.0,13670.0,41.39,5.4,-3.85
2021-04-28,113.95,115.5,112.4,114.05,114.27,66362.0,1151.0,7583306.0,35461.0,53.44,3.1,0.1
2021-04-27,115.7,115.7,111.2,112.15,113.64,24549.0,433.0,2789739.0,13252.0,53.98,4.5,-3.55
2021-04-26,115.0,115.0,110.0,114.15,113.41,95795.0,2095.0,10863812.0,60407.0,63.06,5.0,-0.85
2021-04-23,107.75,115.2,107.6,111.8,110.89,127918.0,1770.0,14185371.0,65537.0,51.23,7.6,4.05
2021-04-22,104.75,109.55,104.75,106.8,107.49,77183.0,1108.0,8296079.0,33662.0,43.61,4.8,2.05
2021-04-20,108.0,110.95,106.3,107.05,108.74,44456.0,698.0,4834357.0,20174.0,45.38,4.65,-0.95
2021-04-19,109.9,110.1,106.2,108.6,107.81,64032.0,986.0,6903483.0,21457.0,33.51,3.9,-1.3
2021-04-16,107.75,114.5,106.65,112.5,112.02,138563.0,2204.0,15521179.0,67157.0,48.47,7.85,4.75
2021-04-15,110.25,110.25,104.35,107.25,106.37,28180.0,482.0,2997413.0,11341.0,40.24,5.9,-3.0
2021-04-13,106.4,110.3,105.25,109.2,107.98,71720.0,1262.0,7744213.0,36296.0,50.61,5.05,2.8
2021-04-12,113.0,113.75,102.35,104.55,108.47,148986.0,2006.0,16159840.0,62753.0,42.12,11.4,-8.45
2021-04-09,112.55,121.0,112.55,116.85,118.2,186071.0,2864.0,21992791.0,72755.0,39.1,8.45,4.3
2021-04-08,116.5,118.15,115.4,116.15,116.78,54321.0,959.0,6343693.0,21172.0,38.98,2.75,-0.35
2021-04-07,116.0,118.0,114.15,114.8,116.15,42943.0,708.0,4987756.0,21814.0,50.8,3.85,-1.2
2021-04-06,115.2,118.2,112.3,115.6,115.34,160402.0,1785.0,18501213.0,106374.0,66.32,5.9,0.4
2021-04-05,114.1,116.75,107.85,115.55,113.37,245765.0,2758.0,27863290.0,88834.0,36.15,8.9,1.45
